日期,出門時段,同學,通勤分鐘
2026-04-06,07:10,小安,23
2026-04-06,07:10,小芬,26
2026-04-06,07:10,小豪,30
2026-04-06,07:10,小美,27
2026-04-06,07:30,阿倫,31
2026-04-06,07:30,阿玲,34
2026-04-06,07:30,阿宏,38
2026-04-06,07:30,阿雯,35
2026-04-06,07:50,小傑,44
2026-04-06,07:50,小琪,47
2026-04-06,07:50,小宇,51
2026-04-06,07:50,小萱,48
2026-04-07,07:10,小安,26
2026-04-07,07:10,小芬,29
2026-04-07,07:10,小豪,33
2026-04-07,07:10,小美,30
2026-04-07,07:30,阿倫,34
2026-04-07,07:30,阿玲,37
2026-04-07,07:30,阿宏,41
2026-04-07,07:30,阿雯,38
2026-04-07,07:50,小傑,47
2026-04-07,07:50,小琪,50
2026-04-07,07:50,小宇,54
2026-04-07,07:50,小萱,51
2026-04-08,07:10,小安,21
2026-04-08,07:10,小芬,24
2026-04-08,07:10,小豪,28
2026-04-08,07:10,小美,25
2026-04-08,07:30,阿倫,29
2026-04-08,07:30,阿玲,32
2026-04-08,07:30,阿宏,36
2026-04-08,07:30,阿雯,33
2026-04-08,07:50,小傑,42
2026-04-08,07:50,小琪,45
2026-04-08,07:50,小宇,49
2026-04-08,07:50,小萱,46
2026-04-09,07:10,小安,29
2026-04-09,07:10,小芬,32
2026-04-09,07:10,小豪,36
2026-04-09,07:10,小美,33
2026-04-09,07:30,阿倫,37
2026-04-09,07:30,阿玲,40
2026-04-09,07:30,阿宏,44
2026-04-09,07:30,阿雯,41
2026-04-09,07:50,小傑,50
2026-04-09,07:50,小琪,53
2026-04-09,07:50,小宇,57
2026-04-09,07:50,小萱,54
2026-04-10,07:10,小安,24
2026-04-10,07:10,小芬,27
2026-04-10,07:10,小豪,31
2026-04-10,07:10,小美,28
2026-04-10,07:30,阿倫,32
2026-04-10,07:30,阿玲,35
2026-04-10,07:30,阿宏,39
2026-04-10,07:30,阿雯,36
2026-04-10,07:50,小傑,45
2026-04-10,07:50,小琪,48
2026-04-10,07:50,小宇,52
2026-04-10,07:50,小萱,49
